180302-05:00:47 login login successful 
180302-06:25:39 direct_request ori:(u'::1', 40317), dest:(u'31.13.80.12', 443) 
180302-06:25:39 direct_request ori:(u'::1', 10802), dest:(u'31.13.80.12', 443) 
180302-06:25:39 direct_request ori:(u'::1', 43262), dest:(u'31.13.80.12', 443) 
180302-06:25:39 direct_request ori:(u'::1', 27130), dest:(u'31.13.80.12', 443) 
180302-06:25:39 direct_request ori:(u'::1', 16712), dest:(u'31.13.80.12', 443) 
180302-06:25:39 direct_request ori:(u'::1', 15792), dest:(u'31.13.80.12', 443) 
180302-06:25:40 direct_request ori:(u'::1', 14952), dest:(u'31.13.80.12', 443) 
180302-06:25:40 direct_request ori:(u'::1', 16541), dest:(u'31.13.80.12', 443) 
180302-06:25:42 direct_request ori:(u'::1', 25468), dest:(u'31.13.80.12', 443) 
180302-06:25:42 direct_request ori:(u'::1', 34736), dest:(u'31.13.71.7', 443) 
180302-06:25:42 direct_request ori:(u'::1', 48199), dest:(u'31.13.71.7', 443) 
180302-06:25:42 direct_request ori:(u'::1', 25093), dest:(u'31.13.80.36', 443) 
180302-06:25:42 direct_request ori:(u'::1', 35614), dest:(u'31.13.71.7', 443) 
180302-06:25:43 direct_request ori:(u'::1', 27782), dest:(u'31.13.80.12', 443) 
180302-06:25:43 direct_request ori:(u'::1', 17071), dest:(u'31.13.80.12', 443) 
180302-06:25:44 direct_request ori:(u'::1', 38705), dest:(u'31.13.80.36', 443) 
180302-06:25:46 direct_request ori:(u'::1', 17828), dest:(u'31.13.80.36', 443) 
180302-06:25:50 direct_request ori:(u'::1', 15875), dest:(u'31.13.80.12', 443) 
180302-06:25:50 direct_request ori:(u'::1', 29398), dest:(u'31.13.80.12', 443) 
180302-06:25:50 direct_request ori:(u'::1', 12616), dest:(u'31.13.80.12', 443) 
180302-06:25:50 direct_request ori:(u'::1', 11750), dest:(u'31.13.80.12', 443) 
180302-06:25:50 direct_request ori:(u'::1', 40320), dest:(u'31.13.80.12', 443) 
180302-06:25:50 direct_request ori:(u'::1', 44730), dest:(u'31.13.80.12', 443) 
180302-06:25:50 direct_request ori:(u'::1', 29512), dest:(u'31.13.80.12', 443) 
